origin_lat,origin_lon,dest_lat,dest_lon,city_name
18.88618,-96.93036,18.89376,-96.93519,Córdoba_Veracruz_MEX
20.95191,-97.40193,20.95378,-97.4067,Tuxpan_Veracruz_MEX
19.26793,-99.76224,19.27697,-99.77045,Zinacantepec_México_MEX
19.35428,-99.29888,19.35707,-99.29969,Cuajimalpa de Morelos_Distrito Federal_MEX
19.28646,-98.42741,19.28286,-98.4351,San Martín Texmelucan_Puebla_MEX
20.08576,-98.37311,20.08054,-98.36818,Tulancingo de Bravo_Hidalgo_MEX
19.79666,-99.10691,19.79808,-99.10033,Zumpango_México_MEX
32.48462,-114.78081,32.47913,-114.77943,San Luis Río Colorado_Sonora_MEX
25.65994,-100.39595,25.66532,-100.40224,San Pedro Garza García_Nuevo León_MEX
29.32457,-100.93228,29.32405,-100.93208,Acuña_Coahuila_MEX
19.10096,-96.10563,19.10136,-96.106,Boca del Río_Veracruz_MEX
22.77298,-102.57855,22.77166,-102.57355,Zacatecas_Zacatecas_MEX
19.98492,-102.27858,19.9843,-102.2862,Zamora_Michoacán_MEX
19.23993,-103.71606,19.24249,-103.7273,Colima_Colima_MEX
18.85314,-97.10582,18.84905,-97.10499,Orizaba_Veracruz_MEX
19.19152,-99.02357,19.19167,-99.02376,Milpa Alta_Distrito Federal_MEX
19.05918,-98.30407,19.06166,-98.30535,San Pedro Cholula_Puebla_MEX
16.73048,-92.6407,16.73159,-92.64229,San Cristóbal de las Casas_Chiapas_MEX
23.17395,-102.86739,23.17464,-102.86813,Fresnillo_Zacatecas_MEX
19.08506,-104.30812,19.08552,-104.30856,Manzanillo_Colima_MEX
17.98983,-94.54912,17.98235,-94.54235,Minatitlán_Veracruz_MEX
28.18085,-105.46939,28.19153,-105.46966,Delicias_Chihuahua_MEX
21.98768,-99.01229,21.98644,-99.01875,Ciudad Valles_San Luis Potosí_MEX
20.62743,-87.07426,20.62774,-87.07535,Solidaridad_Quintana Roo_MEX
25.97807,-98.09019,25.98128,-98.08998,Río Bravo_Tamaulipas_MEX
18.34521,-99.53021,18.34493,-99.53989,Iguala de la Independencia_Guerrero_MEX
17.64556,-101.54764,17.64224,-101.55229,Zihuatanejo de Azueta_Guerrero_MEX
27.06939,-109.44452,27.07255,-109.44563,Navojoa_Sonora_MEX
19.51483,-98.88102,19.51363,-98.88165,Texcoco_México_MEX
26.93244,-105.66538,26.93304,-105.66347,Hidalgo del Parral_Chihuahua_MEX
20.91645,-97.67377,20.91679,-97.67623,Temapache_Veracruz_MEX
20.62696,-87.07459,20.63022,-87.0711,Playa del Carmen_Quintana Roo_MEX
19.26557,-103.73544,19.26485,-103.7363,Villa de Álvarez_Colima_MEX
12.11693,-86.23987,12.1172,-86.24079,Managua_Managua_NIC
12.42214,-86.8733,12.43696,-86.87317,León_León_NIC
11.97943,-86.08323,11.97718,-86.09201,Masaya_Masaya_NIC
12.94111,-85.89176,12.91989,-85.92339,Matagalpa_Matagalpa_NIC
12.62874,-87.11753,12.62603,-87.12737,Chinandega_Chinandega_NIC
13.05075,-86.46889,13.08984,-86.35704,Estelí_Estelí_NIC
11.94663,-85.94861,11.9303,-85.95435,Granada_Granada_NIC
12.19601,-86.10258,12.1788,-86.1003,Tipitapa_Managua_NIC
8.95218,-79.53258,8.95239,-79.5354,Ciudad de Panamá_Panamá_PAN
9.05845,-79.50879,9.05407,-79.49875,San Miguelito_Panamá_PAN
8.86896,-79.78293,8.87596,-79.7862,La Chorrera_Panamá Oeste_PAN
18.4599,-66.08642,18.46633,-66.10474,San Juan_Puerto Rico_PRI
18.39698,-66.15348,18.39409,-66.14738,Bayamón_Puerto Rico_PRI
18.43799,-66.0226,18.44284,-66.02399,Carolina_Puerto Rico_PRI
18.01742,-66.61923,18.01165,-66.61442,Ponce_Puerto Rico_PRI
13.71327,-89.17936,13.69967,-89.2068,San Salvador_San Salvador_SLV
13.70279,-89.16061,13.70424,-89.14991,Soyapango_San Salvador_SLV
13.73127,-89.18913,13.72491,-89.19047,Mejicanos_San Salvador_SLV
13.68988,-89.2682,13.67299,-89.28301,Nueva San Salvador_La Libertad_SLV
13.6884,-89.12983,13.69392,-89.12587,Ilopango_San Salvador_SLV
40.75377,-73.99721,40.71455,-74.00714,New York_New York_USA
34.11531,-118.33598,34.05349,-118.24532,Los Angeles_California_USA
41.95759,-87.69957,41.88425,-87.63245,Chicago_Illinois_USA
40.70607,-73.94378,40.69245,-73.99036,Brooklyn_New York_USA
40.64354,-73.78452,40.714,-73.82999,Queens_New York_USA
29.8607,-95.56406,29.76058,-95.36968,Houston_Texas_USA
40.73284,-73.9808,40.71442,-74.00608,Manhattan_New York_USA
33.49956,-111.94987,33.44825,-112.0758,Phoenix_Arizona_USA
40.12383,-75.01617,39.95222,-75.16218,Philadelphia_Pennsylvania_USA
40.81915,-73.83593,40.826,-73.92309,Bronx_New York_USA
29.38137,-98.53916,29.42458,-98.49461,San Antonio_Texas_USA
32.83608,-117.0121,32.71568,-117.16171,San Diego_California_USA
32.65996,-96.84646,32.77815,-96.7954,Dallas_Texas_USA
37.24295,-121.75963,37.33865,-121.88542,San Jose_California_USA
42.31793,-83.09008,42.33168,-83.048,Detroit_Michigan_USA
30.40162,-81.56404,30.33147,-81.65622,Jacksonville_Florida_USA
37.75216,-122.40078,37.77712,-122.41964,San Francisco_California_USA
40.72368,-73.54357,40.70981,-73.5897,Town of Hempstead_New York_USA
39.9986,-83.00126,39.96199,-83.00275,Columbus_Ohio_USA
30.4148,-97.7232,30.26759,-97.74299,Austin_Texas_USA
39.79609,-86.10231,39.76691,-86.14996,Indianapolis_Indiana_USA
32.82589,-97.30877,32.75095,-97.33086,Fort Worth_Texas_USA
35.19822,-89.79666,35.14976,-90.04925,Memphis_Tennessee_USA
35.08243,-80.81418,35.22286,-80.83796,Charlotte_North Carolina_USA
39.30553,-76.53059,39.29058,-76.60926,Baltimore_Maryland_USA
31.76988,-106.2297,31.75916,-106.48749,El Paso_Texas_USA
43.07889,-87.87957,43.042,-87.90687,Milwaukee_Wisconsin_USA
42.29,-71.14706,42.35866,-71.05674,Boston_Massachusetts_USA
47.67573,-122.26545,47.60357,-122.32945,Seattle_Washington_USA
36.03321,-86.77547,36.16784,-86.77816,Nashville_Tennessee_USA
39.70403,-104.88609,39.74001,-104.99202,Denver_Colorado_USA
38.91954,-77.03571,38.89037,-77.03196,Washington_District of Columbia_USA
36.16602,-115.06237,36.17191,-115.13997,Las Vegas_Nevada_USA
45.5522,-122.57787,45.51179,-122.67563,Portland_Oregon_USA
35.52234,-97.52983,35.47203,-97.52107,Oklahoma City_Oklahoma_USA
32.15546,-110.77256,32.22155,-110.96976,Tucson_Arizona_USA
35.12985,-106.69411,35.08423,-106.64905,Albuquerque_New Mexico_USA
40.80591,-72.87199,40.78442,-73.01953,Town of Brookhaven_New York_USA
40.63926,-74.08179,40.64242,-74.07527,Staten Island_New York_USA
36.84238,-119.75408,36.74066,-119.78576,Fresno_California_USA
33.82598,-118.20757,33.76672,-118.1924,Long Beach_California_USA
38.60669,-121.45786,38.57933,-121.4909,Sacramento_California_USA
33.35942,-111.67707,33.41704,-111.83146,Mesa_Arizona_USA
39.08412,-94.58652,39.10345,-94.58311,Kansas City_Missouri_USA
41.43254,-81.76954,41.50473,-81.69074,Cleveland_Ohio_USA
36.78621,-76.0791,36.75528,-76.05962,Virginia Beach_Virginia_USA
41.20324,-96.14776,41.26067,-95.94056,Omaha_Nebraska_USA
33.77663,-84.46496,33.74831,-84.39111,Atlanta_Georgia_USA
25.77515,-80.20316,25.77481,-80.19773,Miami_Florida_USA
37.83733,-122.27594,37.80508,-122.27307,Oakland_California_USA
36.16757,-95.9879,36.14974,-95.99333,Tulsa_Oklahoma_USA
44.97163,-93.24945,44.97902,-93.26494,Minneapolis_Minnesota_USA
38.94734,-104.76785,38.83348,-104.82181,Colorado Springs_Colorado_USA
35.88003,-78.54158,35.78551,-78.64267,Raleigh_North Carolina_USA
21.34398,-158.11387,21.30493,-157.85788,Honolulu_Hawaii_USA
32.75756,-97.15678,32.7356,-97.10772,Arlington_Texas_USA
37.67436,-97.34929,37.68698,-97.33558,Wichita_Kansas_USA
38.64448,-90.26452,38.62775,-90.19956,St Louis_Missouri_USA
33.7733,-117.85232,33.74958,-117.87446,Santa Ana_California_USA
27.96368,-82.40139,27.94653,-82.45927,Tampa_Florida_USA
40.73062,-73.29721,40.72969,-73.21097,Town of Islip_New York_USA
33.81176,-117.92836,33.83286,-117.91524,Anaheim_California_USA
39.17319,-84.43608,39.10713,-84.50413,Cincinnati_Ohio_USA
35.27713,-119.05811,35.36723,-119.01886,Bakersfield_California_USA
39.69652,-104.86436,39.70932,-104.81458,Aurora_Colorado_USA
40.42452,-80.06742,40.43851,-79.99734,Pittsburgh_Pennsylvania_USA
41.58998,-83.62166,41.65381,-83.53626,Toledo_Ohio_USA
33.92651,-117.44073,33.98171,-117.37404,Riverside_California_USA
